gender	nationality	main_crime_age	criminal_records	main_crime_category	main_crime_is_violent	risk01_previous_violence	risk02_history_nonviolent_offences	risk03_early_violence_before_14	risk04_past_intervention_fail	risk05_self_harm_suicide_attempts	risk06_violence_at_home	risk07_childhood_mistreatment	risk08_criminal_parent_caregiver	risk09_early_separation_parents	risk10_poor_school_achievement	risk11_delinquency_peer_group	risk12_rejection_peer_group	risk13_poor_stress_coping	risk14_poor_parental_skills_parents	risk15_lack_of_personal_social_support	risk16_marginalized_environment	risk17_negative_attitudes	risk18_risk_taker_impulsive	risk19_drug_abuse	risk20_anger_management_issues	risk21_low_empaty	risk22_attention_deficit	risk23_poor_compliance_interventions	risk24_low_commitment_school	protective01_prosocial_activities	protective02_strong_social_support	protective03_strong_link_prosocial_adult	protective04_positive_attitude_interventions	protective05_high_commitment_school_or_work	protective06_perseverant_personality	average_01_antisocial	average_02_family	average_03_personality	average_04_social_support	average_05_susceptibility_treatment	sum_historic_risk_items	sum_social_risk_items	sum_individual_risk_items	sum_all_risk_items	sum_all_protective_items	professional_risk_evaluation	recidivism	recidivism_number_offences	recidividm_category_first_offence	recidivism_violence_first_offence	recidivism_severity
Male	Foreigner	16	More than 5 criminal records	Violent against property	Violent	Moderate	High	High	Moderate	Low	Low	Low	Low	Low	High	High	Low	Moderate	High	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Present	Present	Absent	Present	Present	Absent	1.14285714285714	0	0.428571428571429	0.6	0.428571428571429	8	5	2	15	2	Moderate	Yes	2	Violent against property	Violent	2	
Male	Foreigner	17	More than 5 criminal records	Against persons	Violent	High	Moderate	Low	Moderate	Low	Low	Low	High	Moderate	Moderate	High	Low	Low	Moderate	Moderate	High	High	High	Low	Moderate	High	Low	Moderate	High	Absent	Absent	Present	Absent	Absent	Absent	0.857142857142857	0.75	1	1	1.14285714285714	8	6	10	24	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0	0	0.142857142857143	2	0	0	2	0	Low	Yes	1	Others	No violent	1	
Male	Spanish	16	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Low	High	Present	Present	Absent	Present	Absent	Absent	0.142857142857143	0.25	0.714285714285714	0.8	0.857142857142857	3	6	5	14	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Violent against property	Violent	Moderate	Moderate	High	Low	Low	High	Moderate	Low	High	High	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Absent	0.571428571428571	1.25	0.285714285714286	0.2	0.428571428571429	11	1	2	14	1	Low	Yes	1	Violent against property	Violent	2	
Male	Spanish	17	0 criminal records	Others	No violent	Low	Low	Low	Low	Low	High	High	High	Low	High	High	Low	Low	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Absent	Absent	Present	Present	Absent	Absent	0.428571428571429	1.5	0.571428571428571	0.8	0.857142857142857	8	5	6	19	4	Moderate	Yes	3	Others	No violent	3	
Male	Foreigner	15	0 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	High	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0.285714285714286	0	0.428571428571429	2	0	4	6	0	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	15	3 to 5 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	High	Moderate	Low	Moderate	Moderate	Low	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Low	Present	Present	Present	Present	Present	Present	0.714285714285714	0.25	0.857142857142857	0.6	0.285714285714286	5	5	7	17	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	More than 5 criminal records	Violent against property	Violent	High	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	High	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Absent	Absent	Present	Present	Present	0.714285714285714	0.25	0	1	0.428571428571429	7	4	0	11	3	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	High	Absent	Present	Present	Present	Present	Present	0.142857142857143	0	0.142857142857143	0.4	0.428571428571429	1	3	2	6	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	0 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Present	Present	Absent	Present	Absent	Present	0.428571428571429	0	0.714285714285714	0.4	0.714285714285714	3	3	7	13	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	High	High	High	Low	Low	Low	High	Low	Moderate	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	1.14285714285714	0.75	0	0	0.428571428571429	11	0	2	13	1	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	0 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	0	0.142857142857143	0	0.285714285714286	4	1	0	5	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	3 to 5 criminal records	Violent against property	Violent	High	Moderate	Low	Moderate	Low	High	High	Moderate	Low	High	High	Moderate	Moderate	High	High	High	Moderate	Moderate	High	Moderate	High	High	Moderate	Low	Absent	Absent	Present	Present	Absent	Absent	1.14285714285714	1.25	1.28571428571429	1.4	0.857142857142857	11	10	10	31	4	Moderate	Yes	5	Nonviolent against property	No violent	3	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Present	Present	Present	Present	Present	Present	0	0	0	0.2	0.142857142857143	0	1	1	2	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Others	No violent	High	Moderate	High	High	Moderate	Moderate	Low	Low	Low	High	Moderate	Low	Moderate	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Absent	Absent	Absent	Absent	Present	Absent	1.42857142857143	0.25	0.857142857142857	1	1.14285714285714	11	5	9	25	5	High	Yes	1	Violent against property	Violent	3	
Male	Foreigner	15	More than 5 criminal records	Against persons	Violent	Moderate	Low	High	Moderate	Moderate	Low	High	Low	High	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Absent	Absent	Absent	Absent	Absent	Absent	1.14285714285714	1	1.42857142857143	1.4	1.28571428571429	11	10	11	32	6	High	Yes	2	Others	No violent	0	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	Present	Present	Present	Present	Present	Absent	0.428571428571429	0	0.714285714285714	0.4	0.285714285714286	4	2	5	11	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Absent	0.285714285714286	0	0.285714285714286	0.4	0.428571428571429	3	4	1	8	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Low	Low	Low	High	Low	High	Low	Low	Low	Low	Moderate	Moderate	Moderate	High	Present	Present	Present	Present	Absent	Absent	0	0.25	0.285714285714286	0.8	1	3	4	5	12	2	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0.25	0.142857142857143	0	0	1	1	0	2	0	Low	Yes	3	Against people	Violent	3	
Male	Foreigner	15	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0	0	0.2	0.285714285714286	2	1	0	3	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Against persons	Violent	Moderate	Low	Moderate	Moderate	Low	High	High	Low	High	High	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	1.5	0.285714285714286	0.2	0.285714285714286	11	1	2	14	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	High	High	High	Low	Low	Low	Moderate	High	Low	High	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	Low	Absent	Present	Present	Present	Present	Present	1	0.75	0.285714285714286	0.6	0.571428571428571	11	4	3	18	1	Low	No	0	Not applicable	Not applicable	0	
Female	Foreigner	16	More than 5 criminal records	Violent against property	Violent	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Moderate	Low	Low	Low	Low	Low	High	Low	Low	Moderate	Absent	Absent	Absent	Present	Absent	Present	0.428571428571429	0	0.285714285714286	1	0.428571428571429	2	4	3	9	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	More than 5 criminal records	Against persons	Violent	Moderate	Moderate	Low	High	Low	Low	Moderate	Low	Low	High	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Absent	Absent	Absent	Absent	Absent	Absent	1	0.25	1.14285714285714	1.2	1.28571428571429	7	8	10	25	6	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	More than 5 criminal records	Violent against property	Violent	High	High	Moderate	High	High	Low	Low	Low	High	Low	Moderate	Moderate	High	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Present	Absent	Present	Present	Absent	Absent	1.57142857142857	0.5	1.14285714285714	0.8	0.428571428571429	11	7	7	25	3	High	Yes	2	Others	No violent	1	
Male	Foreigner	16	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	1	0.142857142857143	0.4	0	4	3	0	7	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Low	Moderate	Moderate	Moderate	Present	Present	Present	Present	Present	Absent	0.571428571428571	0.75	0.714285714285714	0.4	0.571428571428571	5	4	8	17	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	High	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Low	Low	High	Present	Present	Present	Present	Absent	Present	0.714285714285714	0	0.714285714285714	0.4	0.714285714285714	3	5	8	16	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	0 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0.25	0.142857142857143	0.4	0.142857142857143	2	2	1	5	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Low	Low	Moderate	Low	High	Moderate	High	High	High	Moderate	Low	High	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	High	Absent	Present	Absent	Absent	Absent	Absent	0.428571428571429	1.75	0.714285714285714	0.8	1.28571428571429	11	6	6	23	5	Moderate	Yes	1	Nonviolent against property	No violent	2	
Female	Spanish	17	1 or 2 criminal records	Against persons	Violent	High	High	Moderate	High	High	High	Low	Low	Low	High	Moderate	Low	High	High	Moderate	Low	Moderate	High	High	High	Moderate	High	Moderate	High	Absent	Present	Present	Absent	Absent	Absent	1.71428571428571	0.5	1.42857142857143	0.6	1.28571428571429	13	6	13	32	4	High	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	3 to 5 criminal records	Against persons	Violent	Low	Moderate	Low	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Absent	Absent	Absent	Present	Present	Present	0.714285714285714	0.25	0.714285714285714	1.2	0.428571428571429	5	6	6	17	3	Moderate	Yes	7	Against people	Violent	3	
Female	Foreigner	17	0 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Moderate	High	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	High	Absent	Present	Present	Present	Absent	Absent	0.285714285714286	0.5	0	0.2	1	5	1	3	9	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	More than 5 criminal records	Others	No violent	Moderate	High	Low	Moderate	Low	Low	High	Moderate	High	Moderate	Low	Low	High	High	High	Low	High	Moderate	High	High	Moderate	Low	Moderate	Low	Absent	Absent	Absent	Present	Present	Absent	0.857142857142857	1.25	1.14285714285714	1.2	0.571428571428571	10	6	9	25	4	High	Yes	2	Nonviolent against property	No violent	2	
Male	Foreigner	17	3 to 5 criminal records	Others	No violent	Low	High	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	0	0	0.2	0.428571428571429	4	1	2	7	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	More than 5 criminal records	Others	No violent	Moderate	Moderate	Low	Low	High	High	Moderate	Low	High	High	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	Absent	Absent	Present	Present	Present	Absent	0.857142857142857	1.25	0.571428571428571	0.4	0.571428571428571	11	3	4	18	3	High	Yes	2	Against people	Violent	2	
Male	Foreigner	14	More than 5 criminal records	Against persons	Violent	High	High	Low	Moderate	Low	Low	Low	Low	Low	High	Moderate	Low	Low	High	Moderate	Moderate	Moderate	High	High	High	High	High	High	High	Absent	Present	Present	Absent	Absent	Absent	1.14285714285714	0	1.28571428571429	0.8	1.42857142857143	7	5	15	27	4	Moderate	Yes	2	Others	No violent	1	
Male	Foreigner	16	1 or 2 criminal records	Others	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Moderate	Moderate	Moderate	High	High	Moderate	Low	Moderate	Moderate	Low	High	Moderate	Absent	Present	Absent	Absent	Absent	Absent	0.285714285714286	0	0.857142857142857	1	1.28571428571429	2	7	8	17	5	High	Yes	5	Against people	Violent	4	
Male	Spanish	15	0 criminal records	Others	No violent	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Present	Present	Present	Present	Present	Present	0	0.75	0.285714285714286	0.2	0.142857142857143	4	2	1	7	0	Low	Yes	1	Against people	Violent	2	
Male	Spanish	16	0 criminal records	Others	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Absent	Absent	0.428571428571429	0	0.285714285714286	0.4	0.714285714285714	2	4	3	9	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Against persons	Violent	Moderate	Moderate	Low	Low	Low	Low	Moderate	High	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.428571428571429	1	0.142857142857143	0.4	0.285714285714286	7	3	1	11	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	High	Moderate	High	Low	Low	Moderate	Low	High	High	Low	Low	Low	Low	Moderate	Low	Moderate	Present	Present	Present	Present	Present	Present	0.571428571428571	0.5	0.428571428571429	0.6	0.285714285714286	5	5	4	14	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	3 to 5 criminal records	Against persons	Violent	High	Low	Low	High	Low	Moderate	Moderate	Low	Moderate	High	High	Low	Low	High	High	Moderate	Moderate	Low	High	Low	High	Moderate	Moderate	Low	Absent	Absent	Absent	Absent	Absent	Absent	1.14285714285714	0.75	0.571428571428571	1.4	1	9	7	7	23	6	High	Yes	1	Against people	Violent	2	
Male	Spanish	15	0 criminal records	Others	No violent	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	High	Moderate	High	Moderate	Moderate	Low	High	Moderate	Moderate	High	High	Low	Moderate	High	Present	Present	Present	Absent	Present	Present	0.428571428571429	0.25	1.42857142857143	0.4	0.714285714285714	2	7	11	20	1	Moderate	Yes	3	Nonviolent against property	No violent	1	
Male	Spanish	14	More than 5 criminal records	Violent against property	Violent	High	High	High	High	Moderate	Low	Moderate	High	Low	High	High	Low	Moderate	Low	Moderate	High	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	High	Absent	Present	Present	Absent	Absent	Absent	1.85714285714286	0.75	0.714285714285714	0.6	1.28571428571429	14	6	9	29	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0.5	0	0.2	0.285714285714286	4	2	0	6	0	Low	No	0	Not applicable	Not applicable	0	
Female	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	High	Low	High	High	High	High	High	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Present	Present	Present	Absent	Present	Absent	0.571428571428571	2	0.285714285714286	0.4	0.714285714285714	14	3	2	19	2	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	High	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	High	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.428571428571429	1.5	0.857142857142857	1	0.857142857142857	7	5	9	21	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	3 to 5 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	High	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Moderate	Absent	Present	Present	Present	Absent	Absent	0.285714285714286	0.25	0.142857142857143	0	0.857142857142857	4	1	2	7	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	14	3 to 5 criminal records	Violent against property	Violent	High	High	Low	Low	Low	High	High	Low	Moderate	High	Moderate	Low	Moderate	High	High	Moderate	Low	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Absent	Absent	Absent	Present	Present	Absent	1	1.25	0.571428571428571	1.4	0.857142857142857	11	7	7	25	4	Moderate	Yes	9	Nonviolent against property	No violent	1	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Absent	Present	Present	Absent	Absent	Present	0.714285714285714	0.25	0.428571428571429	0.4	0.714285714285714	5	3	5	13	3	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	14	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0	0	0.4	0.285714285714286	2	2	0	4	0	Low	Yes	1	Nonviolent against property	No violent	0	
Female	Foreigner	16	1 or 2 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Absent	Present	Present	Present	Present	Absent	0.285714285714286	0	0.571428571428571	0.6	0.428571428571429	2	4	4	10	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	0 criminal records	Nonviolent against property	No violent	High	Low	Low	Low	Low	Low	Low	Moderate	Moderate	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Absent	Absent	Present	Present	Present	Present	0.428571428571429	0.5	0.428571428571429	0.8	0.428571428571429	6	5	2	13	2	Moderate	Yes	3	Others	No violent	2	
Male	Spanish	17	1 or 2 criminal records	Violent against property	Violent	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	0	0	0.2	0	2	2	0	4	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	0 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0.857142857142857	0	0.142857142857143	2	2	4	8	0	High	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	0 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0.25	0	0	0	2	0	0	2	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	3 to 5 criminal records	Violent against property	Violent	High	High	Low	High	Low	High	Low	Low	High	High	High	Moderate	High	High	Moderate	High	High	High	Moderate	Moderate	Moderate	Low	Moderate	Low	Absent	Absent	Absent	Absent	Present	Absent	1.28571428571429	1	1.28571428571429	1.4	0.857142857142857	12	10	8	30	5	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Others	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Present	Absent	Absent	Absent	Present	Absent	0.428571428571429	0	0.285714285714286	0.8	0.714285714285714	3	3	4	10	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	1 or 2 criminal records	Nonviolent against property	No violent	Low	High	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Absent	Present	Present	Absent	Absent	Absent	0.571428571428571	0	0.857142857142857	0.2	1.28571428571429	4	3	9	16	4	Moderate	Yes	5	Nonviolent against property	No violent	2	
Male	Spanish	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Absent	Present	Absent	Present	Absent	Present	0.285714285714286	0	0	0.4	0.714285714285714	3	2	1	6	3	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	High	Moderate	Moderate	High	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Absent	Absent	Absent	Present	Present	Present	0.142857142857143	1.5	0.285714285714286	0.8	0.285714285714286	7	3	2	12	3	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Moderate	Low	Moderate	Low	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Present	Present	Present	Present	Present	Present	0	0	0.285714285714286	0.4	0.571428571428571	2	2	4	8	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Nonviolent against property	No violent	High	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Present	Absent	Absent	Absent	Absent	Absent	0.714285714285714	0.25	0.714285714285714	1.4	1	5	7	8	20	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	High	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Absent	0.857142857142857	0	0.571428571428571	0.2	0.428571428571429	5	3	5	13	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Against persons	Violent	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	High	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Absent	Absent	Absent	Absent	Absent	Absent	0.571428571428571	0.5	1.28571428571429	1.4	1.14285714285714	6	9	9	24	6	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Violent against property	Violent	High	Moderate	Moderate	Low	Low	Low	Low	Low	High	High	Moderate	Low	Low	High	High	Low	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Absent	Absent	Absent	Present	Present	Absent	0.714285714285714	0.5	0.285714285714286	1.2	0.714285714285714	8	5	3	16	4	Moderate	No	0	Not applicable	Not applicable	0	
